coa_combination_id,coa_id,field1,field2,field3,field4,field5,field6,field7,field8,combination,description,ac_type,ef_id,status,rev_enabled_cb,rev_number,effective_start_date,effective_end_date
,1,101,103,0000,104430,3100,101,,,501-502-0000-104430-3100-501,,A,,,,,,
,1,101,103,0000,104440,3100,101,,,501-502-0000-104440-3100-501,,A,,,,,,
,1,101,103,0000,104500,3100,101,,,501-502-0000-104500-3100-501,,A,,,,,,
,1,101,103,0000,104520,3100,101,,,501-502-0000-104520-3100-501,,A,,,,,,
,1,101,103,0000,104600,3100,101,,,501-502-0000-104600-3100-501,,A,,,,,,
,1,101,103,0000,104640,3100,101,,,501-502-0000-104640-3100-501,,A,,,,,,
,1,101,103,0000,104650,3100,101,,,501-502-0000-104650-3100-501,,A,,,,,,
,1,101,103,0000,104651,3100,101,,,501-502-0000-104651-3100-501,,A,,,,,,
,1,101,103,0000,104652,3100,101,,,501-502-0000-104652-3100-501,,A,,,,,,
,1,101,103,0000,104653,3100,101,,,501-502-0000-104653-3100-501,,A,,,,,,
,1,101,103,0000,104654,3100,101,,,501-502-0000-104654-3100-501,,A,,,,,,
,1,101,103,0000,104655,3100,101,,,501-502-0000-104655-3100-501,,A,,,,,,
,1,101,103,0000,104656,3100,101,,,501-502-0000-104656-3100-501,,A,,,,,,
,1,101,103,0000,104657,3100,101,,,501-502-0000-104657-3100-501,,A,,,,,,
,1,101,103,0000,104658,3100,101,,,501-502-0000-104658-3100-501,,A,,,,,,
,1,101,103,0000,104659,3100,101,,,501-502-0000-104659-3100-501,,A,,,,,,
,1,101,103,0000,104660,3100,101,,,501-502-0000-104660-3100-501,,A,,,,,,
,1,101,103,0000,104661,3100,101,,,501-502-0000-104661-3100-501,,A,,,,,,
,1,101,103,0000,104662,3100,101,,,501-502-0000-104662-3100-501,,A,,,,,,
,1,101,103,0000,104663,3100,101,,,501-502-0000-104663-3100-501,,A,,,,,,
,1,101,103,0000,104664,3100,101,,,501-502-0000-104664-3100-501,,A,,,,,,
,1,101,103,0000,104665,3100,101,,,501-502-0000-104665-3100-501,,A,,,,,,
,1,101,103,0000,104666,3100,101,,,501-502-0000-104666-3100-501,,A,,,,,,
,1,101,103,0000,104678,3100,101,,,501-502-0000-104678-3100-501,,A,,,,,,
,1,101,103,0000,104679,3100,101,,,501-502-0000-104679-3100-501,,A,,,,,,
,1,101,103,0000,104680,3100,101,,,501-502-0000-104680-3100-501,,A,,,,,,
,1,101,103,0000,104681,3100,101,,,501-502-0000-104681-3100-501,,A,,,,,,
,1,101,103,0000,104730,3100,101,,,501-502-0000-104730-3100-501,,A,,,,,,
,1,101,103,0000,104740,3100,101,,,501-502-0000-104740-3100-501,,A,,,,,,
,1,101,103,0000,104899,3100,101,,,501-502-0000-104899-3100-501,,A,,,,,,
,1,101,103,0000,104900,3100,101,,,501-502-0000-104900-3100-501,,A,,,,,,
,1,101,103,0000,104910,3100,101,,,501-502-0000-104910-3100-501,,A,,,,,,
,1,101,103,0000,104920,3100,101,,,501-502-0000-104920-3100-501,,A,,,,,,
,1,101,103,0000,104990,3100,101,,,501-502-0000-104990-3100-501,,A,,,,,,
,1,101,103,0000,105000,3100,101,,,501-502-0000-105000-3100-501,,A,,,,,,
,1,101,103,0000,105001,3100,101,,,501-502-0000-105001-3100-501,,A,,,,,,
,1,101,103,0000,105002,3100,101,,,501-502-0000-105002-3100-501,,A,,,,,,
,1,101,103,0000,105005,3100,101,,,501-502-0000-105005-3100-501,,A,,,,,,
,1,101,103,0000,105008,3100,101,,,501-502-0000-105008-3100-501,,A,,,,,,
,1,101,103,0000,105009,3100,101,,,501-502-0000-105009-3100-501,,A,,,,,,
,1,101,103,0000,105030,3100,101,,,501-502-0000-105030-3100-501,,A,,,,,,
,1,101,103,0000,105040,3100,101,,,501-502-0000-105040-3100-501,,A,,,,,,
,1,101,103,0000,105050,3100,101,,,501-502-0000-105050-3100-501,,A,,,,,,
,1,101,103,0000,105060,3100,101,,,501-502-0000-105060-3100-501,,A,,,,,,
,1,101,103,0000,105090,3100,101,,,501-502-0000-105090-3100-501,,A,,,,,,
,1,101,103,0000,105100,3100,101,,,501-502-0000-105100-3100-501,,A,,,,,,
,1,101,103,0000,105120,3000,101,,,501-502-0000-105120-3000-501,,A,,,,,,
,1,101,103,0000,105130,3100,101,,,501-502-0000-105130-3100-501,,A,,,,,,
,1,101,103,0000,105140,3100,101,,,501-502-0000-105140-3100-501,,A,,,,,,
,1,101,103,0000,105150,3100,101,,,501-502-0000-105150-3100-501,,A,,,,,,
,1,101,103,0000,105160,3000,101,,,501-502-0000-105160-3000-501,,A,,,,,,
,1,101,103,0000,105200,3100,101,,,501-502-0000-105200-3100-501,,A,,,,,,
,1,101,103,0000,105220,3100,101,,,501-502-0000-105220-3100-501,,A,,,,,,
,1,101,103,0000,105230,3100,101,,,501-502-0000-105230-3100-501,,A,,,,,,
,1,101,103,0000,105240,3100,101,,,501-502-0000-105240-3100-501,,A,,,,,,
,1,101,103,0000,105250,3100,101,,,501-502-0000-105250-3100-501,,A,,,,,,
,1,101,103,0000,105260,3100,101,,,501-502-0000-105260-3100-501,,A,,,,,,
,1,101,103,0000,105300,3100,101,,,501-502-0000-105300-3100-501,,A,,,,,,
,1,101,103,0000,105310,3100,101,,,501-502-0000-105310-3100-501,,A,,,,,,
,1,101,103,0000,105450,3100,101,,,501-502-0000-105450-3100-501,,A,,,,,,
,1,101,103,0000,105480,3100,101,,,501-502-0000-105480-3100-501,,A,,,,,,
,1,101,103,0000,105490,3100,101,,,501-502-0000-105490-3100-501,,A,,,,,,
,1,101,103,0000,105499,3100,101,,,501-502-0000-105499-3100-501,,A,,,,,,
,1,101,103,0000,105500,3100,101,,,501-502-0000-105500-3100-501,,A,,,,,,
,1,101,103,0000,105510,3100,101,,,501-502-0000-105510-3100-501,,A,,,,,,
,1,101,103,0000,105530,3100,101,,,501-502-0000-105530-3100-501,,A,,,,,,
,1,101,103,0000,106491,3100,101,,,501-502-0000-106491-3100-501,,A,,,,,,
,1,101,103,0000,106520,3100,101,,,501-502-0000-106520-3100-501,,A,,,,,,
,1,101,103,0000,106530,3100,101,,,501-502-0000-106530-3100-501,,A,,,,,,
,1,101,103,0000,106531,3100,101,,,501-502-0000-106531-3100-501,,A,,,,,,
,1,101,103,0000,106800,3100,101,,,501-502-0000-106800-3100-501,,A,,,,,,
,1,101,103,0000,106990,3100,101,,,501-502-0000-106990-3100-501,,A,,,,,,
,1,101,103,0000,106991,3100,101,,,501-502-0000-106991-3100-501,,A,,,,,,
,1,101,103,0000,110000,3100,101,,,501-502-0000-110000-3100-501,,A,,,,,,
,1,101,103,0000,110010,3100,101,,,501-502-0000-110010-3100-501,,A,,,,,,
,1,101,103,0000,110020,3100,101,,,501-502-0000-110020-3100-501,,A,,,,,,
,1,101,103,0000,110030,3100,101,,,501-502-0000-110030-3100-501,,A,,,,,,
,1,101,103,0000,110040,3100,101,,,501-502-0000-110040-3100-501,,A,,,,,,
,1,101,103,0000,110041,3100,101,,,501-502-0000-110041-3100-501,,A,,,,,,
,1,101,103,0000,110042,3100,101,,,501-502-0000-110042-3100-501,,A,,,,,,
,1,101,103,0000,110050,3100,101,,,501-502-0000-110050-3100-501,,A,,,,,,
,1,101,103,0000,110055,3100,101,,,501-502-0000-110055-3100-501,,A,,,,,,
,1,101,103,0000,110060,3100,101,,,501-502-0000-110060-3100-501,,A,,,,,,
,1,101,103,0000,110070,3100,101,,,501-502-0000-110070-3100-501,,A,,,,,,
,1,101,103,0000,110080,3100,101,,,501-502-0000-110080-3100-501,,A,,,,,,
,1,101,103,0000,110090,3100,101,,,501-502-0000-110090-3100-501,,A,,,,,,
,1,101,103,0000,110095,3100,101,,,501-502-0000-110095-3100-501,,A,,,,,,
,1,101,103,0000,110096,3100,101,,,501-502-0000-110096-3100-501,,A,,,,,,
,1,101,103,0000,110098,3100,101,,,501-502-0000-110098-3100-501,,A,,,,,,
,1,101,103,0000,110099,3100,101,,,501-502-0000-110099-3100-501,,A,,,,,,
,1,101,103,0000,110200,3100,101,,,501-502-0000-110200-3100-501,,A,,,,,,
,1,101,103,0000,110210,3100,101,,,501-502-0000-110210-3100-501,,A,,,,,,
,1,101,103,0000,110219,3100,101,,,501-502-0000-110219-3100-501,,A,,,,,,
,1,101,103,0000,110296,3100,101,,,501-502-0000-110296-3100-501,,A,,,,,,
,1,101,103,0000,110299,3100,101,,,501-502-0000-110299-3100-501,,A,,,,,,
,1,101,103,0000,110399,3100,101,,,501-502-0000-110399-3100-501,,A,,,,,,
,1,101,103,0000,110400,3100,101,,,501-502-0000-110400-3100-501,,A,,,,,,
,1,101,103,0000,110500,3100,101,,,501-502-0000-110500-3100-501,,A,,,,,,
,1,101,103,0000,110599,3100,101,,,501-502-0000-110599-3100-501,,A,,,,,,
,1,101,103,0000,112000,3100,101,,,501-502-0000-112000-3100-501,,A,,,,,,
,1,101,103,0000,112520,3100,101,,,501-502-0000-112520-3100-501,,A,,,,,,
,1,101,103,0000,113000,3100,101,,,501-502-0000-113000-3100-501,,A,,,,,,
,1,101,103,0000,113500,3100,101,,,501-502-0000-113500-3100-501,,A,,,,,,
,1,101,103,0000,114000,3100,101,,,501-502-0000-114000-3100-501,,A,,,,,,
,1,101,103,0000,114500,3100,101,,,501-502-0000-114500-3100-501,,A,,,,,,
,1,101,103,0000,115100,3100,101,,,501-502-0000-115100-3100-501,,A,,,,,,
,1,101,103,0000,115105,3100,101,,,501-502-0000-115105-3100-501,,A,,,,,,
,1,101,103,0000,115110,3100,101,,,501-502-0000-115110-3100-501,,A,,,,,,
,1,101,103,0000,115115,3100,101,,,501-502-0000-115115-3100-501,,A,,,,,,
,1,101,103,0000,115117,3100,101,,,501-502-0000-115117-3100-501,,A,,,,,,
,1,101,103,0000,115118,3100,101,,,501-502-0000-115118-3100-501,,A,,,,,,
,1,101,103,0000,115170,3100,101,,,501-502-0000-115170-3100-501,,A,,,,,,
,1,101,103,0000,115175,3100,101,,,501-502-0000-115175-3100-501,,A,,,,,,
,1,101,103,0000,115900,3100,101,,,501-502-0000-115900-3100-501,,A,,,,,,
,1,101,103,0000,200000,3100,101,,,501-502-0000-200000-3100-501,,L,,,,,,
,1,101,103,0000,200010,3100,101,,,501-502-0000-200010-3100-501,,L,,,,,,
,1,101,103,0000,200020,3100,101,,,501-502-0000-200020-3100-501,,L,,,,,,
,1,101,103,0000,200030,3100,101,,,501-502-0000-200030-3100-501,,L,,,,,,
,1,101,103,0000,200500,3100,101,,,501-502-0000-200500-3100-501,,L,,,,,,
,1,101,103,0000,210000,3100,101,,,501-502-0000-210000-3100-501,,L,,,,,,
,1,101,103,0000,210001,3100,101,,,501-502-0000-210001-3100-501,,L,,,,,,
,1,101,103,0000,211000,3100,101,,,501-502-0000-211000-3100-501,,L,,,,,,
,1,101,103,0000,212000,3100,101,,,501-502-0000-212000-3100-501,,L,,,,,,
,1,101,103,0000,213000,3100,101,,,501-502-0000-213000-3100-501,,L,,,,,,
,1,101,103,0000,220000,3100,101,,,501-502-0000-220000-3100-501,,L,,,,,,
,1,101,103,0000,221050,3100,101,,,501-502-0000-221050-3100-501,,L,,,,,,
,1,101,103,0000,221100,3100,101,,,501-502-0000-221100-3100-501,,L,,,,,,
,1,101,103,0000,221150,3100,101,,,501-502-0000-221150-3100-501,,L,,,,,,
,1,101,103,0000,221200,3100,101,,,501-502-0000-221200-3100-501,,L,,,,,,
,1,101,103,0000,221250,3100,101,,,501-502-0000-221250-3100-501,,L,,,,,,
,1,101,103,0000,221300,3100,101,,,501-502-0000-221300-3100-501,,L,,,,,,
,1,101,103,0000,221350,3100,101,,,501-502-0000-221350-3100-501,,L,,,,,,
,1,101,103,0000,221400,3100,101,,,501-502-0000-221400-3100-501,,L,,,,,,
,1,101,103,0000,222000,3100,101,,,501-502-0000-222000-3100-501,,L,,,,,,
,1,101,103,0000,223000,3100,101,,,501-502-0000-223000-3100-501,,L,,,,,,
,1,101,103,0000,224000,3100,101,,,501-502-0000-224000-3100-501,,L,,,,,,
,1,101,103,0000,230000,3100,101,,,501-502-0000-230000-3100-501,,L,,,,,,
,1,101,103,0000,231000,3100,101,,,501-502-0000-231000-3100-501,,L,,,,,,
,1,101,103,0000,231050,3100,101,,,501-502-0000-231050-3100-501,,L,,,,,,
,1,101,103,0000,231060,3100,101,,,501-502-0000-231060-3100-501,,L,,,,,,
,1,101,103,0000,231070,3100,101,,,501-502-0000-231070-3100-501,,L,,,,,,
,1,101,103,0000,231080,3100,101,,,501-502-0000-231080-3100-501,,L,,,,,,
,1,101,103,0000,231090,3100,101,,,501-502-0000-231090-3100-501,,L,,,,,,
,1,101,103,0000,231100,3100,101,,,501-502-0000-231100-3100-501,,L,,,,,,
,1,101,103,0000,231110,3100,101,,,501-502-0000-231110-3100-501,,L,,,,,,
,1,101,103,0000,231120,3100,101,,,501-502-0000-231120-3100-501,,L,,,,,,
,1,101,103,0000,231130,3100,101,,,501-502-0000-231130-3100-501,,L,,,,,,
,1,101,103,0000,231140,3100,101,,,501-502-0000-231140-3100-501,,L,,,,,,
,1,101,103,0000,231150,3100,101,,,501-502-0000-231150-3100-501,,L,,,,,,
,1,101,103,0000,231160,3100,101,,,501-502-0000-231160-3100-501,,L,,,,,,
,1,101,103,0000,231170,3100,101,,,501-502-0000-231170-3100-501,,L,,,,,,
,1,101,103,0000,231180,3100,101,,,501-502-0000-231180-3100-501,,L,,,,,,
,1,101,103,0000,231190,3100,101,,,501-502-0000-231190-3100-501,,L,,,,,,
,1,101,103,0000,231200,3100,101,,,501-502-0000-231200-3100-501,,L,,,,,,
,1,101,103,0000,231210,3100,101,,,501-502-0000-231210-3100-501,,L,,,,,,
,1,101,103,0000,231220,3100,101,,,501-502-0000-231220-3100-501,,L,,,,,,
,1,101,103,0000,231230,3100,101,,,501-502-0000-231230-3100-501,,L,,,,,,
,1,101,103,0000,231240,3100,101,,,501-502-0000-231240-3100-501,,L,,,,,,
,1,101,103,0000,231250,3100,101,,,501-502-0000-231250-3100-501,,L,,,,,,
,1,101,103,0000,231260,3100,101,,,501-502-0000-231260-3100-501,,L,,,,,,
,1,101,103,0000,231270,3100,101,,,501-502-0000-231270-3100-501,,L,,,,,,
,1,101,103,0000,231280,3100,101,,,501-502-0000-231280-3100-501,,L,,,,,,
,1,101,103,0000,231290,3100,101,,,501-502-0000-231290-3100-501,,L,,,,,,
,1,101,103,0000,231300,3100,101,,,501-502-0000-231300-3100-501,,L,,,,,,
,1,101,103,0000,231310,3100,101,,,501-502-0000-231310-3100-501,,L,,,,,,
,1,101,103,0000,231320,3100,101,,,501-502-0000-231320-3100-501,,L,,,,,,
,1,101,103,0000,231330,3100,101,,,501-502-0000-231330-3100-501,,L,,,,,,
,1,101,103,0000,231340,3100,101,,,501-502-0000-231340-3100-501,,L,,,,,,
,1,101,103,0000,231350,3100,101,,,501-502-0000-231350-3100-501,,L,,,,,,
,1,101,103,0000,231360,3100,101,,,501-502-0000-231360-3100-501,,L,,,,,,
,1,101,103,0000,231370,3100,101,,,501-502-0000-231370-3100-501,,L,,,,,,
,1,101,103,0000,231380,3100,101,,,501-502-0000-231380-3100-501,,L,,,,,,
,1,101,103,0000,231390,3100,101,,,501-502-0000-231390-3100-501,,L,,,,,,
,1,101,103,0000,231400,3100,101,,,501-502-0000-231400-3100-501,,L,,,,,,
,1,101,103,0000,231410,3100,101,,,501-502-0000-231410-3100-501,,L,,,,,,
,1,101,103,0000,231420,3100,101,,,501-502-0000-231420-3100-501,,L,,,,,,
,1,101,103,0000,231430,3100,101,,,501-502-0000-231430-3100-501,,L,,,,,,
,1,101,103,0000,231440,3100,101,,,501-502-0000-231440-3100-501,,L,,,,,,
,1,101,103,0000,231450,3100,101,,,501-502-0000-231450-3100-501,,L,,,,,,
,1,101,103,0000,231460,3100,101,,,501-502-0000-231460-3100-501,,L,,,,,,
,1,101,103,0000,231470,3100,101,,,501-502-0000-231470-3100-501,,L,,,,,,
,1,101,103,0000,231480,3100,101,,,501-502-0000-231480-3100-501,,L,,,,,,
,1,101,103,0000,231490,3100,101,,,501-502-0000-231490-3100-501,,L,,,,,,
,1,101,103,0000,231500,3100,101,,,501-502-0000-231500-3100-501,,L,,,,,,
,1,101,103,0000,231510,3100,101,,,501-502-0000-231510-3100-501,,L,,,,,,
,1,101,103,0000,231520,3100,101,,,501-502-0000-231520-3100-501,,L,,,,,,
,1,101,103,0000,231530,3100,101,,,501-502-0000-231530-3100-501,,L,,,,,,
,1,101,103,0000,231540,3100,101,,,501-502-0000-231540-3100-501,,L,,,,,,
,1,101,103,0000,231550,3100,101,,,501-502-0000-231550-3100-501,,L,,,,,,
,1,101,103,0000,231560,3100,101,,,501-502-0000-231560-3100-501,,L,,,,,,
,1,101,103,0000,231570,3100,101,,,501-502-0000-231570-3100-501,,L,,,,,,
,1,101,103,0000,231580,3100,101,,,501-502-0000-231580-3100-501,,L,,,,,,
,1,101,103,0000,231590,3100,101,,,501-502-0000-231590-3100-501,,L,,,,,,
,1,101,103,0000,231600,3100,101,,,501-502-0000-231600-3100-501,,L,,,,,,
,1,101,103,0000,231610,3100,101,,,501-502-0000-231610-3100-501,,L,,,,,,
,1,101,103,0000,231620,3100,101,,,501-502-0000-231620-3100-501,,L,,,,,,
,1,101,103,0000,231630,3100,101,,,501-502-0000-231630-3100-501,,L,,,,,,
,1,101,103,0000,231640,3100,101,,,501-502-0000-231640-3100-501,,L,,,,,,
,1,101,103,0000,231650,3100,101,,,501-502-0000-231650-3100-501,,L,,,,,,
,1,101,103,0000,231660,3100,101,,,501-502-0000-231660-3100-501,,L,,,,,,
,1,101,103,0000,231670,3100,101,,,501-502-0000-231670-3100-501,,L,,,,,,
,1,101,103,0000,231680,3100,101,,,501-502-0000-231680-3100-501,,L,,,,,,
,1,101,103,0000,231690,3100,101,,,501-502-0000-231690-3100-501,,L,,,,,,
,1,101,103,0000,231700,3100,101,,,501-502-0000-231700-3100-501,,L,,,,,,
,1,101,103,0000,231710,3100,101,,,501-502-0000-231710-3100-501,,L,,,,,,
,1,101,103,0000,231720,3100,101,,,501-502-0000-231720-3100-501,,L,,,,,,
,1,101,103,0000,231730,3100,101,,,501-502-0000-231730-3100-501,,L,,,,,,
,1,101,103,0000,231740,3100,101,,,501-502-0000-231740-3100-501,,L,,,,,,
,1,101,103,0000,231900,3100,101,,,501-502-0000-231900-3100-501,,L,,,,,,
,1,101,103,0000,231910,3100,101,,,501-502-0000-231910-3100-501,,L,,,,,,
,1,101,103,0000,231920,3100,101,,,501-502-0000-231920-3100-501,,L,,,,,,
,1,101,103,0000,231930,3100,101,,,501-502-0000-231930-3100-501,,L,,,,,,
,1,101,103,0000,231940,3100,101,,,501-502-0000-231940-3100-501,,L,,,,,,
,1,101,103,0000,231950,3100,101,,,501-502-0000-231950-3100-501,,L,,,,,,
,1,101,103,0000,231960,3100,101,,,501-502-0000-231960-3100-501,,L,,,,,,
,1,101,103,0000,231970,3100,101,,,501-502-0000-231970-3100-501,,L,,,,,,
,1,101,103,0000,231980,3100,101,,,501-502-0000-231980-3100-501,,L,,,,,,
,1,101,103,0000,231990,3100,101,,,501-502-0000-231990-3100-501,,L,,,,,,
,1,101,103,0000,232000,3100,101,,,501-502-0000-232000-3100-501,,L,,,,,,
,1,101,103,0000,232100,3100,101,,,501-502-0000-232100-3100-501,,L,,,,,,
,1,101,103,0000,233000,3100,101,,,501-502-0000-233000-3100-501,,L,,,,,,
,1,101,103,0000,234000,3100,101,,,501-502-0000-234000-3100-501,,L,,,,,,
,1,101,103,0000,235000,3100,101,,,501-502-0000-235000-3100-501,,L,,,,,,
,1,101,103,0000,235100,3100,101,,,501-502-0000-235100-3100-501,,L,,,,,,
,1,101,103,0000,235200,3100,101,,,501-502-0000-235200-3100-501,,L,,,,,,
,1,101,103,0000,236000,3100,101,,,501-502-0000-236000-3100-501,,L,,,,,,
,1,101,103,0000,237000,3100,101,,,501-502-0000-237000-3100-501,,L,,,,,,
,1,101,103,0000,239000,3100,101,,,501-502-0000-239000-3100-501,,L,,,,,,
,1,101,103,0000,239100,3100,101,,,501-502-0000-239100-3100-501,,L,,,,,,
,1,101,103,0000,239150,3100,101,,,501-502-0000-239150-3100-501,,L,,,,,,
,1,101,103,0000,239200,3100,101,,,501-502-0000-239200-3100-501,,L,,,,,,
,1,101,103,0000,239250,3100,101,,,501-502-0000-239250-3100-501,,L,,,,,,
,1,101,103,0000,239300,3100,101,,,501-502-0000-239300-3100-501,,L,,,,,,
,1,101,103,0000,239350,3100,101,,,501-502-0000-239350-3100-501,,L,,,,,,
,1,101,103,0000,239400,3100,101,,,501-502-0000-239400-3100-501,,L,,,,,,
,1,101,103,0000,239450,3100,101,,,501-502-0000-239450-3100-501,,L,,,,,,
,1,101,103,0000,240000,3100,101,,,501-502-0000-240000-3100-501,,L,,,,,,
,1,101,103,0000,241000,3100,101,,,501-502-0000-241000-3100-501,,L,,,,,,
,1,101,103,0000,242000,3100,101,,,501-502-0000-242000-3100-501,,L,,,,,,
,1,101,103,0000,243000,3100,101,,,501-502-0000-243000-3100-501,,L,,,,,,
,1,101,103,0000,244000,3100,101,,,501-502-0000-244000-3100-501,,L,,,,,,
,1,101,103,0000,245000,3100,101,,,501-502-0000-245000-3100-501,,L,,,,,,
,1,101,103,0000,246000,3100,101,,,501-502-0000-246000-3100-501,,L,,,,,,
,1,101,103,0000,247000,3100,101,,,501-502-0000-247000-3100-501,,L,,,,,,
,1,101,103,0000,249000,3100,101,,,501-502-0000-249000-3100-501,,L,,,,,,
,1,101,103,0000,250000,3100,101,,,501-502-0000-250000-3100-501,,L,,,,,,
,1,101,103,0000,251000,3100,101,,,501-502-0000-251000-3100-501,,L,,,,,,
,1,101,103,0000,252000,3100,101,,,501-502-0000-252000-3100-501,,L,,,,,,
,1,101,103,0000,253000,3100,101,,,501-502-0000-253000-3100-501,,L,,,,,,
,1,101,103,0000,255000,3100,101,,,501-502-0000-255000-3100-501,,L,,,,,,
,1,101,103,0000,256000,3100,101,,,501-502-0000-256000-3100-501,,L,,,,,,
,1,101,103,0000,257000,3100,101,,,501-502-0000-257000-3100-501,,L,,,,,,
,1,101,103,0000,258000,3100,101,,,501-502-0000-258000-3100-501,,L,,,,,,
,1,101,103,0000,259000,3100,101,,,501-502-0000-259000-3100-501,,L,,,,,,
,1,101,103,0000,260000,3100,101,,,501-502-0000-260000-3100-501,,L,,,,,,
,1,101,103,0000,261000,3100,101,,,501-502-0000-261000-3100-501,,L,,,,,,
,1,101,103,0000,262000,3100,101,,,501-502-0000-262000-3100-501,,L,,,,,,
,1,101,103,0000,263000,3100,101,,,501-502-0000-263000-3100-501,,L,,,,,,
,1,101,103,0000,300001,3100,101,,,501-502-0000-300001-3100-501,,E,,,,,,
,1,101,103,0000,310000,2000,101,,,501-502-0000-310000-2000-501,,E,,,,,,
,1,101,103,0000,310000,3100,101,,,501-502-0000-310000-3100-501,,E,,,,,,
,1,101,103,0000,320000,3100,101,,,501-502-0000-320000-3100-501,,E,,,,,,
,1,101,103,0000,330000,3100,101,,,501-502-0000-330000-3100-501,,E,,,,,,
,1,101,103,0000,340000,3100,101,,,501-502-0000-340000-3100-501,,E,,,,,,
,1,101,103,0000,350000,3100,101,,,501-502-0000-350000-3100-501,,E,,,,,,
,1,101,103,0000,360000,3100,101,,,501-502-0000-360000-3100-501,,E,,,,,,
,1,101,103,0000,370000,3100,101,,,501-502-0000-370000-3100-501,,E,,,,,,
,1,101,103,0000,380000,3100,101,,,501-502-0000-380000-3100-501,,E,,,,,,
,1,101,103,0000,380050,3100,101,,,501-502-0000-380050-3100-501,,E,,,,,,
,1,101,103,0000,380100,3100,101,,,501-502-0000-380100-3100-501,,E,,,,,,
,1,101,103,0000,380100,3000,101,,,501-502-0000-380100-3000-501,,E,,,,,,
,1,101,103,0000,380150,3100,101,,,501-502-0000-380150-3100-501,,E,,,,,,
,1,101,103,0000,380200,3100,101,,,501-502-0000-380200-3100-501,,E,,,,,,
,1,101,103,0000,380250,3100,101,,,501-502-0000-380250-3100-501,,E,,,,,,
,1,101,103,0000,380300,3100,101,,,501-502-0000-380300-3100-501,,E,,,,,,
,1,101,103,0000,380300,1000,101,,,501-502-0000-380300-1000-501,,E,,,,,,
