sys_value_group_line_id,sys_value_group_header_id,code_value,code,description,account_qualifier,status,parent_cb,parent_line_id,effective_start_date,effective_end_date
,4,702300,702300,Purchased R&D,X,,,,,
,4,702400,702400,Impairment Charges,X,,,,,
,4,900000,900000,Gain on Investment - Realized,X,,1,,,
,4,900100,900100,Gain on Investment- Unrealized,X,,1,,,
,4,900200,900200,Interest Income,X,,1,,,
,4,900300,900300,Interest Income from Short Term Investments,X,,,,,
,4,900400,900400,Cash Discounts,X,,1,,,
,4,900600,900600,Dividends,X,,1,,,
,4,900700,900700,Minority JV Income,X,,,,,
,4,901100,901100,Interest Expense,X,,1,,,
,4,902900,902900,FX Gain - Loss ,X,,1,,,
,4,903000,903000,"FX Gain, Intercompany Loans",X,,,,,
,4,903100,903100,"FX Gain from Sales, Realized",X,,,,,
,4,903200,903200,"FX Gain - Realized, Purchases",X,,,,,
,4,903300,903300,FX Gain - Unrealized,X,,,,,
,4,903400,903400,"FX Gain Sales, Unrealized",X,,,,,
,4,903500,903500,"FX Gain - Unrealized, Purchases",X,,,,,
,4,903600,903600,FX Loss - Realized,X,,,,,
,4,903700,903700,"FX Loss, Intercompany Loans",X,,,,,
,4,903800,903800,"FX Loss from Sales, Realized",X,,,,,
,4,903900,903900,"FX Loss - Realized, Purchases",X,,,,,
,4,904000,904000,FX Loss - Unrealized,X,,,,,
,4,904100,904100,"FX Loss from Sales, Unrealized",X,,,,,
,4,904200,904200,"FX Loss - Unrealized, Purchases",X,,1,,,
,4,999999,999999,Suspense,X,,,,,
